Index,Metrics,Value
287,Age,1
288,commits,22
288,stars,0
288,size,213415
288,Contributors,1
288,Forks,0
288,Age,6
289,commits,3
289,stars,0
289,size,13
289,Contributors,1
289,Forks,1
289,Age,0
290,commits,2
290,stars,1
290,size,4
290,Contributors,0
290,Forks,0
290,Age,0
291,commits,6
291,stars,0
291,size,22642
291,Contributors,1
291,Forks,0
291,Age,1
292,commits,144
292,stars,0
292,size,180
292,Contributors,1
292,Forks,0
292,Age,1
293,commits,70
293,stars,14
293,size,151418
293,Contributors,3
293,Forks,5
293,Age,6
294,commits,3
294,stars,0
294,size,221908
294,Contributors,0
294,Forks,0
294,Age,0
295,commits,3
295,stars,0
295,size,5460
295,Contributors,1
295,Forks,0
295,Age,0
296,commits,24
296,stars,6
296,size,27040
296,Contributors,1
296,Forks,2
296,Age,0
297,commits,7
297,stars,0
297,size,2244
297,Contributors,1
297,Forks,0
297,Age,0
298,commits,7
298,stars,0
298,size,4519
298,Contributors,1
298,Forks,0
298,Age,2
299,size,10745
299,Contributors,1
299,Age,6
300,commits,17
300,stars,0
300,size,29
300,Contributors,1
300,Forks,1
300,Age,1
301,commits,13
301,stars,1
301,size,46232
301,Contributors,1
301,Forks,0
301,Age,1
302,commits,7
302,stars,0
302,size,139173
302,Contributors,1
302,Forks,0
302,Age,0
303,commits,28
303,stars,4
303,size,196
303,Contributors,1
303,Forks,1
303,Age,1
304,commits,23
304,stars,0
304,size,45
304,Contributors,1
304,Forks,0
304,Age,0
305,commits,201
305,stars,4
305,Contributors,1
305,Forks,1
305,Age,7
306,commits,18
306,stars,0
306,size,3164
306,Contributors,1
306,Forks,0
306,Age,4
307,commits,12
307,stars,0
307,Contributors,2
307,Forks,0
307,Age,0
308,commits,8
308,stars,0
308,size,24
308,Contributors,1
308,Forks,0
308,Age,0
309,commits,6
309,stars,0
309,size,15
309,Contributors,1
309,Forks,0
309,Age,0
310,commits,4
310,stars,0
310,size,60368
310,Contributors,1
310,Forks,0
310,Age,0
311,commits,18
311,stars,0
311,size,411
311,Contributors,2
311,Forks,0
311,Age,1
312,commits,5
312,stars,0
312,size,279
312,Contributors,1
312,Forks,0
312,Age,0
313,commits,6
313,stars,4
313,size,209
313,Contributors,1
313,Forks,2
313,Age,0
314,commits,50
314,stars,0
314,size,35679
314,Contributors,1
314,Forks,0
314,Age,1
315,commits,45
315,stars,0
315,size,28858
315,Contributors,2
315,Forks,0
315,Age,5
316,commits,71
316,stars,2
316,size,100
316,Contributors,2
316,Forks,1
316,Age,3
317,commits,3
317,stars,6
317,size,4897
317,Contributors,1
317,Forks,1
317,Age,0
318,commits,6
318,stars,0
318,size,29044
318,Contributors,1
318,Forks,0
318,Age,2
319,commits,4
319,stars,0
319,size,7801
319,Contributors,1
319,Forks,0
319,Age,0
320,size,14673
320,Age,7
321,commits,140
321,stars,0
321,size,318
321,Contributors,2
321,Forks,0
321,Age,2
322,stars,0
322,size,11193
322,Forks,0
322,Age,1
323,commits,1
323,stars,0
323,size,8359
323,Contributors,0
323,Forks,0
323,Age,0
324,commits,255
324,stars,0
324,size,11192
324,Contributors,5
324,Forks,0
324,Age,6
325,commits,3
325,stars,0
325,size,39
325,Contributors,1
325,Forks,0
325,Age,0
326,commits,406
326,stars,10
326,size,145732
326,Contributors,3
326,Forks,5
327,commits,1
327,stars,0
327,size,7935
327,Contributors,0
327,Forks,0
327,Age,3
328,size,274180
328,Contributors,1
328,Age,3
329,stars,0
329,size,10853
329,Forks,0
329,Age,0
330,commits,9
330,stars,9
330,size,291
330,Contributors,1
330,Forks,5
330,Age,2
331,stars,0
331,size,14503
331,Forks,0
331,Age,5
332,commits,350
332,stars,12
332,Contributors,1
332,Forks,2
332,Age,3
